time	V(ch1)	V(ch2)	V(n001)	V(n003)
Step Information: Rl=10  (Step: 1/46)
1.796208585297025e-02	-8.526118e+00	7.171079e+00	-6.775197e-01	7.848598e+00
1.802067960297025e-02	-8.379016e+00	7.025994e+00	-6.765110e-01	7.702505e+00
1.807927335297025e-02	-8.221046e+00	6.870233e+00	-6.754068e-01	7.545640e+00
1.813786710297025e-02	-8.052417e+00	6.704012e+00	-6.742024e-01	7.378214e+00
1.819646085297024e-02	-7.873354e+00	6.527567e+00	-6.728936e-01	7.200461e+00
1.825505460297024e-02	-7.684095e+00	6.341146e+00	-6.714748e-01	7.012620e+00
1.831364835297024e-02	-7.484896e+00	6.145016e+00	-6.699398e-01	6.814956e+00
1.837224210297024e-02	-7.276017e+00	5.939455e+00	-6.682811e-01	6.607736e+00
1.843083585297024e-02	-7.057742e+00	5.724760e+00	-6.664910e-01	6.391251e+00
1.848942960297024e-02	-6.830358e+00	5.501240e+00	-6.645592e-01	6.165799e+00
1.854802335297024e-02	-6.594172e+00	5.269223e+00	-6.624750e-01	5.931698e+00
1.860661710297024e-02	-6.349496e+00	5.029047e+00	-6.602244e-01	5.689271e+00
1.866521085297023e-02	-6.096658e+00	4.781073e+00	-6.577924e-01	5.438866e+00
1.872380460297023e-02	-5.835991e+00	4.525672e+00	-6.551597e-01	5.180831e+00
1.878239835297023e-02	-5.567846e+00	4.263238e+00	-6.523039e-01	4.915542e+00
1.884099210297023e-02	-5.292572e+00	3.994179e+00	-6.491970e-01	4.643376e+00
1.889958585297023e-02	-5.010540e+00	3.718930e+00	-6.458055e-01	4.364735e+00
